violation_id,parcel_id,violation_code
1563,12560295,H005
1563,12560295,H035
1563,12560295,H091
1564,12560295,H300
7921,12560295,H090
7921,12560295,H300
11810,12560295,H035
11810,12560295,H090
14072,12560295,H005
14775,12560295,H015
14775,12560295,H065
27014,12560295,H005
27014,12560295,H030
27014,12560295,H035
29970,12560295,H300
31239,12560295,H035
32024,12560295,H055
32024,12560295,H262
37375,12560295,H005
37375,12560295,H055
39304,12560295,H005
39304,12560295,H040
39304,12560295,H050
39304,12560295,H308
43005,12560295,H085
43304,12560295,H035
43304,12560295,H309
44104,12560295,H300
44584,12560295,H050
44584,12560295,H319
46876,12560295,H085
46876,12560295,H309
