parcel_id,owner_id,zipcode,rental,census_tracts
11041000,12947,53511,N,22.2
11041100,12947,53511,N,22.2
11161000,12947,53511,N,22.2
11220100,60567,53511,N,24.1
11330100,54538,53511,Y,25.1
11330155,59098,53511,N,25.1
11330160,59098,53511,N,25.1
11330165,59098,53511,N,25.1
11330170,59098,53511,N,25.1
11330175,59098,53511,N,25.1
11330180,59098,53511,N,25.1
11330185,59098,53511,N,25.1
11330190,59098,53511,N,25.1
11330195,59098,53511,N,25.1
11330200,59098,53511,N,25.1
11330205,59098,53511,N,25.1
11330210,59098,53511,N,25.1
11330215,59098,53511,N,25.1
11330220,59098,53511,N,25.1
11330225,59098,53511,N,25.1
11330230,59098,53511,N,25.1
11330235,59098,53511,N,25.1
11330240,59098,53511,N,25.1
11330245,59098,53511,N,25.1
11330285,59098,53511,N,25.1
11330290,59098,53511,N,25.1
11330295,59098,53511,N,25.1
11330300,52574,53511,N,25.1
11330305,59098,53511,N,25.1
11330310,59098,53511,N,25.1
11330315,59098,53511,N,25.1
11330320,59098,53511,N,25.1
11330325,59098,53511,N,25.1
11330330,59098,53511,N,25.1
11330335,59098,53511,N,25.1
11330350,59098,53511,N,25.1
11330355,59098,53511,N,25.1
11330360,59098,53511,N,25.1
11330365,59098,53511,N,25.1
11330371,59098,53511,Y,25.1
11330376,59098,53511,Y,25.1
11330381,59098,53511,Y,25.1
11330386,59098,53511,Y,25.1
11330390,42176,53511,N,25.1
11330391,59098,53511,Y,25.1
11330396,59098,53511,Y,25.1
11330400,59098,53511,N,25.1
11330405,59098,53511,N,25.1
11330410,59098,53511,N,25.1
11330415,59098,53511,N,25.1
11330420,59098,53511,N,25.1
11330425,59098,53511,N,25.1
11330430,59098,53511,N,25.1
11330435,59098,53511,N,25.1
11330440,59098,53511,N,25.1
11330445,59098,53511,N,25.1
11331010,52574,53511,N,25.1
11331020,25148,53511,N,25.1
11331040,25148,53511,N,25.1
11331060,25148,53511,N,25.1
11331070,15214,53511,N,25.1
11331080,12778,53511,N,25.1
11331090,12997,53511,N,25.1
11331100,23838,53511,N,25.1
11331110,45311,53511,N,25.1
11331120,12690,53511,N,25.1
11331130,56775,53511,N,25.1
11331140,20127,53511,N,25.1
11331150,5906,53511,N,25.1
11331160,29465,53511,N,25.1
11331170,9920,53511,N,25.1
11331180,15911,53511,N,25.1
11331190,15622,53511,N,25.1
11331200,7467,53511,N,25.1
11331201,22635,53511,Y,25.1
11331210,28222,53511,Y,25.1
11331220,14883,53511,Y,25.1
11331221,6768,53511,Y,25.1
11331230,15657,53511,N,25.1
