violation_id,parcel_id,violation_code
22458,13610175,H320
22459,13610175,H120
22460,13610300,H320
22461,13610290,H320
22462,13620945,H320
22463,13620865,H320
22464,13620855,H320
22465,13620815,H320
22466,13610475,H320
22467,13610470,H320
22468,13681322,H320
22469,13680441,H320
22470,13681335,H320
22471,12141085,H121
22473,12741490,H120
22473,12741490,H205
22474,12410430,H205
22474,12410430,H230
22475,13670630,H320
22476,13670135,H320
22477,13650690,H320
22478,11340185,H090
22478,11340185,H295
22479,13670240,H320
22480,12530170,H300
22481,12710690,H262
22482,12430090,H320
22483,12710920,H095
22484,12430095,H320
22485,12440355,H320
22486,12440340,H320
22487,12440330,H320
22488,12440290,H320
22489,12440935,H320
22490,12440940,H320
22491,12440945,H320
22492,13430935,H320
22493,13430690,H320
22494,13441610,H320
22495,13440310,H320
22496,13440305,H320
22497,13440315,H320
22498,13430595,H320
22499,13581680,H035
22499,13581680,H040
22499,13581680,H262
22500,13581675,H030
22501,12531580,H091
22501,12531580,H121
22501,12531580,H205
22501,12531580,H240
22502,13650235,H185
22502,13650235,H205
22503,12441230,H320
22504,12440765,H320
22505,12440760,H320
22506,12531880,H300
22506,12531880,H320
22507,12530465,H300
22507,12530465,H320
22508,12531910,H320
22509,12531710,H320
22510,12531715,H320
22511,12440955,H320
22512,12440825,H320
22513,12440820,H320
22514,12521885,H320
22515,12440740,H320
22516,12520440,H320
22517,13571485,H300
22518,12720915,H295
22519,12580515,H320
22520,12570080,H320
22521,12580740,H320
22522,12580745,H320
22523,12580510,H320
22524,12580745,H320
22526,23280005,H300
22527,12582120,H120
22527,12582120,H180
22527,12582120,H185
22527,12582120,H205
22528,13670685,H300
22529,13670685,H300
22530,12670540,H320
22531,12670595,H320
22532,12141450,H320
22533,13580355,H320
22534,13580340,H320
22535,13580335,H320
22536,13580330,H320
22537,13580320,H320
22538,13420990,H262
22539,13410710,H035
22540,13481040,H309
22541,13470645,H035
22541,13470645,H040
22542,13470760,H309
22543,13410320,H160
22543,13410320,H205
22543,13410320,H317
22544,13580790,H300
22545,13610295,H320
22546,12561170,H005
22546,12561170,H065
22547,12731025,H320
22548,12810050,H320
22549,12141272,H320
22550,13670875,H320
22551,13670880,H320
22552,13670885,H320
22553,13670630,H095
